Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0603_1608Metric,193.0,-86.825,-90.0,top
C10,22u,C_0603_1608Metric,212.975,-51.35,180.0,top
C11,22u,C_0603_1608Metric,212.975,-52.85,180.0,top
C12,22u,C_0603_1608Metric,212.975,-54.35,180.0,top
C13,10u,C_0603_1608Metric,235.5,-54.275,-90.0,top
C14,22u,C_0603_1608Metric,234.5,-59.5,0.0,top
C15,100n,C_0603_1608Metric,168.0,-68.5,90.0,top
C16,1u,C_0402_1005Metric,179.0,-73.52,90.0,top
C18,22u,C_0603_1608Metric,175.0,-60.5,-90.0,top
C19,22u,C_0603_1608Metric,180.775,-54.5,0.0,top
C2,10u,C_0603_1608Metric,193.5,-89.825,90.0,top
C20,10u,C_0603_1608Metric,201.475,-77.405,0.0,top
C21,10u,C_0603_1608Metric,204.7,-77.405,180.0,top
C3,0.01u,C_0805_2012Metric,195.5,-90.15,90.0,top
C4,0.01u,C_0805_2012Metric,223.0,-86.45,90.0,top
C5,10u,C_0603_1608Metric,221.0,-86.625,90.0,top
C6,2.2u,C_0603_1608Metric,221.5,-82.275,-90.0,top
C7,0.1u,C_0603_1608Metric,227.0,-69.0,-90.0,top
C8,10u,C_0603_1608Metric,207.0,-57.625,90.0,top
C9,1u,C_0402_1005Metric,208.5,-57.37,90.0,top
D1,LED,LED_0805_2012Metric,211.0,-67.5625,90.0,top
D2,LED,LED_0805_2012Metric,208.5,-67.5625,90.0,top
FB1,FerriteBead_Small,L0603,223.5,-63.5,0.0,top
J1,TYPE-C-31-M-04,USB-C_SMD-TYPE-C-31-M-12,168.9235,-76.0,-90.0,top
J2,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,203.61,-99.77,90.0,bottom
J3,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,228.5,-93.0,0.0,top
L1,1uH,L_0805_2012Metric,210.25,-53.35,-90.0,top
L2,220n,IND-SMD_L4.5-W4.1_TMPA0402SP,239.5,-56.5,180.0,top
L3,220n,IND-SMD_L4.5-W4.1_TMPA0402SP,239.5,-61.0,0.0,top
Q1,SS8050,SOT-23,188.5625,-68.5,0.0,top
R1,1,R_1206_3216Metric,175.5,-89.1375,-90.0,top
R10,3.3k,R_0805_2012Metric,239.5,-71.0,-90.0,top
R11,3.3k,R_0805_2012Metric,241.5,-71.0,-90.0,top
